COLUMN01,COLUMN02,COLUMN03,COLUMN04,COLUMN05,COLUMN06,COLUMN07,COLUMN08,COLUMN09,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41,COLUMN42,COLUMN43,COLUMN44,COLUMN45,COLUMN46,COLUMN47,COLUMN48,COLUMN49,COLUMN50,COLUMN51,COLUMN52,COLUMN53,COLUMN54,COLUMN55
496,000009.SZ,93000000,139600,139600,139300,139400,139400,139500,139600,139700,139800,139900,140000,140200,140300,140400,10760,4500,6500,5300,5100,41500,58400,10300,2500,300,139300,139200,139100,139000,138800,138600,138400,138200,138100,138000,5000,1000,3600,2900,2900,1000,2200,1600,19200,4300,297900,4158177,917700,3842660,153600,125600,134700,148100
914,000009.SZ,93003000,139600,139700,139000,139000,139300,139400,139500,139600,139700,139800,139900,140000,140100,140200,24800,15100,52100,32600,21660,39300,56400,71200,4900,10200,139100,139000,138800,138700,138600,138500,138400,138300,138200,138100,200,100,4300,5400,22000,6000,3200,8200,4900,21200,460200,6419435,1136500,4805860,153600,125600,134900,147500
1603,000009.SZ,93006000,139600,139700,138600,139400,139400,139500,139600,139700,139800,139900,140000,140100,140200,140300,8700,58200,29800,10060,41900,58000,83000,4900,10200,4500,139200,139100,138600,138500,138400,138300,138200,138100,138000,137900,100,100,21400,7600,3200,10800,4900,21200,32000,4000,555700,7748214,1192200,5063160,153600,125600,134900,147500
2121,000009.SZ,93009000,139600,139700,138600,139100,139100,139200,139400,139500,139600,139700,139800,139900,140000,140100,1300,200,7000,55100,27900,10060,41900,57500,83000,4900,139000,138800,138600,138500,138400,138300,138200,138100,138000,137900,2900,1500,20900,8600,3200,10800,7100,21200,32000,4000,567600,7913628,1217800,5253960,153600,125600,135000,147500
2579,000009.SZ,93012000,139600,139700,138600,139200,139300,139400,139500,139600,139700,139800,139900,140000,140100,140200,1200,7000,57000,27900,10060,42400,57500,83000,4900,10200,139000,138900,138800,138600,138500,138400,138300,138200,138100,138000,1100,1200,1600,20900,8600,3200,10800,7100,21200,33300,573100,7990078,1230800,5281860,153600,125600,135000,147500
3097,000009.SZ,93015000,139600,139700,138600,139000,139200,139400,139500,139600,139700,139800,139900,140000,140100,140200,400,6800,50200,27900,10060,42400,57500,83000,4900,10200,139000,138800,138700,138600,138500,138400,138300,138200,138100,138000,65300,5000,2700,22900,8600,3200,10800,7100,21200,33300,580000,8086112,1307000,5288960,153600,125600,135200,147500
3653,000009.SZ,93018000,139600,139700,138600,139500,139500,139600,139700,139800,139900,140000,140100,140200,140300,140400,34300,24500,10060,42400,57500,83000,4900,10200,4500,7200,139400,139300,139000,138800,138700,138600,138500,138400,138300,138200,1900,16100,80700,5000,2700,23000,8600,3200,10800,7100,608500,8483355,1344200,5341760,153600,125600,135300,147500
4160,000009.SZ,93021000,139600,139700,138600,139000,139500,139600,139700,139800,139900,140000,140100,140200,140300,140400,3700,24500,10060,41600,57500,83000,4900,10200,4500,7200,139200,139100,139000,138800,138700,138600,138500,138400,138300,138200,1200,3300,68300,5000,2700,23000,18800,3200,10800,7100,663700,9252774,1329000,5314660,153600,125600,135200,147600
4665,000009.SZ,93024000,139600,139700,138600,139200,139300,139400,139500,139600,139700,139800,139900,140000,140100,140200,6400,1200,2700,24500,10060,41600,57500,75000,4900,10200,139200,139100,139000,138800,138700,138600,138500,138400,138300,138200,1000,5100,60300,7000,2700,23000,18800,3200,10800,7100,672700,9378122,1325200,5318460,153600,125600,135200,147600
5137,000009.SZ,93027000,139600,139700,138600,139200,139300,139400,139500,139600,139700,139800,139900,140000,140100,140200,6400,4800,7900,24500,10060,41600,57500,75000,4900,10200,139200,139100,139000,138800,138700,138600,138500,138400,138300,138200,2200,8000,70400,7000,2700,23000,18800,3200,10800,7100,675100,9411530,1342600,5330760,153600,125600,135300,147500
5642,000009.SZ,93030000,139600,139700,138600,139200,139200,139300,139400,139500,139600,139700,139800,139900,140000,140100,5100,1300,9800,11500,4300,10060,41600,57500,70000,4900,139100,139000,138800,138700,138600,138500,138400,138300,138200,138100,1100,900,7000,2700,23000,18800,3200,10800,7100,21600,787900,10980024,1264600,5610860,153600,125600,135000,147800
6095,000009.SZ,93033000,139600,139700,138600,139100,139100,139200,139300,139400,139500,139600,139700,139800,139900,140000,12700,14800,1900,9900,11500,4300,10060,41600,57500,70000,138700,138600,138500,138400,138300,138200,138100,138000,137900,137800,1300,23000,18800,3200,10800,7100,21600,34600,4000,14900,803800,11200896,1255800,5637760,153600,125600,135000,147800
6561,000009.SZ,93036000,139600,139700,138600,138800,138800,139000,139100,139200,139300,139400,139500,139600,139700,139800,8900,1300,13600,24000,1300,9900,11500,4000,5060,41600,138700,138600,138500,138400,138300,138200,138100,138000,137900,137800,2000,22100,18800,3200,10800,7100,21600,34600,4000,14900,808600,11267512,1256000,5629560,153600,125600,135000,147800
7062,000009.SZ,93039000,139600,139700,138600,138700,138700,138900,139000,139100,139200,139300,139400,139500,139600,139700,100,11500,1400,23100,22400,3300,9900,11500,4200,10060,138600,138500,138400,138300,138200,138100,138000,137900,137800,137700,22100,19300,3200,10800,7100,21600,34600,4000,14900,5100,815200,11359146,1256700,5656660,153600,125600,135000,147700
7564,000009.SZ,93042000,139600,139700,138600,138700,138800,138900,139000,139100,139200,139300,139400,139500,139600,139700,100,11500,1900,16400,18200,3300,8800,6500,4200,10060,138700,138600,138500,138400,138300,138200,138100,138000,137900,137800,5400,21300,19300,3200,10800,7100,21600,34600,4000,14900,831500,11585219,1266900,5659260,153600,125600,135000,147800
