COLUMN01,COLUMN02,COLUMN03,COLUMN04,COLUMN05,COLUMN06,COLUMN07,COLUMN08,COLUMN09,COLUMN10,COLUMN11,COLUMN12,COLUMN13,COLUMN14,COLUMN15,COLUMN16,COLUMN17,COLUMN18,COLUMN19,COLUMN20,COLUMN21,COLUMN22,COLUMN23,COLUMN24,COLUMN25,COLUMN26,COLUMN27,COLUMN28,COLUMN29,COLUMN30,COLUMN31,COLUMN32,COLUMN33,COLUMN34,COLUMN35,COLUMN36,COLUMN37,COLUMN38,COLUMN39,COLUMN40,COLUMN41,COLUMN42,COLUMN43,COLUMN44,COLUMN45,COLUMN46,COLUMN47,COLUMN48,COLUMN49,COLUMN50,COLUMN51,COLUMN52,COLUMN53,COLUMN54,COLUMN55,diff,gain,loss,bb_bbm,bb_bbh,bb_bbl,bb_bbhi,bb_bbli,bb_bbw,bb_bbp,bb_ma,bb_high,bb_low,RSI,MACD,MACD_signal,MACD_diff,stoch_k,stoch_d,ATR,RMA,tick_count,cumulative_tick_count
496,000009.SZ,1900-01-01 09:30:00,13.96,13.96,13.93,13.94,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.02,14.03,14.04,10760,4500,6500,5300,5100,41500,58400,10300,2500,300,13.93,13.92,13.91,13.9,13.88,13.86,13.84,13.82,13.81,13.8,5000,1000,3600,2900,2900,1000,2200,1600,19200,4300,297900,4158177,917700,3842660,15.36,12.56,13.47,14.81,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,
914,000009.SZ,1900-01-01 09:30:03,13.96,13.97,13.9,13.9,13.93,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,24800,15100,52100,32600,21660,39300,56400,71200,4900,10200,13.91,13.9,13.88,13.87,13.86,13.85,13.84,13.83,13.82,13.81,200,100,4300,5400,22000,6000,3200,8200,4900,21200,460200,6419435,1136500,4805860,15.36,12.56,13.49,14.75,-0.03999999999999915,0.0,-0.04,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,3.0
1603,000009.SZ,1900-01-01 09:30:06,13.96,13.97,13.86,13.94,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,14.03,8700,58200,29800,10060,41900,58000,83000,4900,10200,4500,13.92,13.91,13.86,13.85,13.84,13.83,13.82,13.81,13.8,13.79,100,100,21400,7600,3200,10800,4900,21200,32000,4000,555700,7748214,1192200,5063160,15.36,12.56,13.49,14.75,0.03999999999999915,0.04,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,6.0
2121,000009.SZ,1900-01-01 09:30:09,13.96,13.97,13.86,13.91,13.91,13.92,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.01,1300,200,7000,55100,27900,10060,41900,57500,83000,4900,13.9,13.88,13.86,13.85,13.84,13.83,13.82,13.81,13.8,13.79,2900,1500,20900,8600,3200,10800,7100,21200,32000,4000,567600,7913628,1217800,5253960,15.36,12.56,13.5,14.75,-0.02999999999999936,0.0,-0.03,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,9.0
2579,000009.SZ,1900-01-01 09:30:12,13.96,13.97,13.86,13.92,13.93,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,1200,7000,57000,27900,10060,42400,57500,83000,4900,10200,13.9,13.89,13.88,13.86,13.85,13.84,13.83,13.82,13.81,13.8,1100,1200,1600,20900,8600,3200,10800,7100,21200,33300,573100,7990078,1230800,5281860,15.36,12.56,13.5,14.75,0.009999999999999787,0.01,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,12.0
3097,000009.SZ,1900-01-01 09:30:15,13.96,13.97,13.86,13.9,13.92,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,400,6800,50200,27900,10060,42400,57500,83000,4900,10200,13.9,13.88,13.87,13.86,13.85,13.84,13.83,13.82,13.81,13.8,65300,5000,2700,22900,8600,3200,10800,7100,21200,33300,580000,8086112,1307000,5288960,15.36,12.56,13.52,14.75,-0.019999999999999574,0.0,-0.02,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,15.0
3653,000009.SZ,1900-01-01 09:30:18,13.96,13.97,13.86,13.95,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,14.03,14.04,34300,24500,10060,42400,57500,83000,4900,10200,4500,7200,13.94,13.93,13.9,13.88,13.87,13.86,13.85,13.84,13.83,13.82,1900,16100,80700,5000,2700,23000,8600,3200,10800,7100,608500,8483355,1344200,5341760,15.36,12.56,13.53,14.75,0.049999999999998934,0.05,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,18.0
4160,000009.SZ,1900-01-01 09:30:21,13.96,13.97,13.86,13.9,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,14.03,14.04,3700,24500,10060,41600,57500,83000,4900,10200,4500,7200,13.92,13.91,13.9,13.88,13.87,13.86,13.85,13.84,13.83,13.82,1200,3300,68300,5000,2700,23000,18800,3200,10800,7100,663700,9252774,1329000,5314660,15.36,12.56,13.52,14.76,-0.049999999999998934,0.0,-0.05,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,21.0
4665,000009.SZ,1900-01-01 09:30:24,13.96,13.97,13.86,13.92,13.93,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,6400,1200,2700,24500,10060,41600,57500,75000,4900,10200,13.92,13.91,13.9,13.88,13.87,13.86,13.85,13.84,13.83,13.82,1000,5100,60300,7000,2700,23000,18800,3200,10800,7100,672700,9378122,1325200,5318460,15.36,12.56,13.52,14.76,0.019999999999999574,0.02,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,24.0
5137,000009.SZ,1900-01-01 09:30:27,13.96,13.97,13.86,13.92,13.93,13.94,13.95,13.96,13.97,13.98,13.99,14.0,14.01,14.02,6400,4800,7900,24500,10060,41600,57500,75000,4900,10200,13.92,13.91,13.9,13.88,13.87,13.86,13.85,13.84,13.83,13.82,2200,8000,70400,7000,2700,23000,18800,3200,10800,7100,675100,9411530,1342600,5330760,15.36,12.56,13.53,14.75,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,,3.0,27.0
